#logging stats for session scenario_20220404_075635_215
#[Histogram log format version 1.0]
#[StartTime: 1649058995.908 (seconds since epoch), Mon Apr 04 07:56:35 GMT 2022]
#[TimeUnit: NANOSECONDS]
#Tag,Interval_Start,Interval_Length,count,min,p25,p50,p75,p90,p95,p98,p99,p999,p9999,max
Tag=cbaworkload_default_000.cycles.servicetime,50.026,9.985,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.phases.servicetime,50.029,9.983,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.block2--insert-rampup--success,50.032,9.981,12004,228992,262655,271359,276479,279039,279807,281343,281343,281855,281855,88145919
Tag=cbaworkload_default_001.block2--insert-rampup--error,50.034,9.981,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.block2--insert-rampup--resultset-size,50.035,9.980,12007,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.tokenfiller,50.035,9.981,9169,1010176,1029119,1038847,1044479,1051647,1055743,1056767,1056767,1056767,1056767,8138751
Tag=cbaworkload_default_001.retry-delay,50.037,9.981,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.pages,50.038,9.981,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.skipped-tokens,50.038,9.981,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.resultset-size,50.039,9.980,12012,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_001.read_input,50.039,9.980,12012,100,200,200,200,200,200,200,200,200,200,69247
Tag=cbaworkload_default_001.strides.servicetime,50.039,9.981,12013,453376,662527,825343,1096703,1191935,1213439,1239039,1253375,1278975,1278975,729284607
Tag=cbaworkload_default_001.bind,50.042,9.981,11977,22000,24111,24511,24703,24815,24911,24911,24911,24911,24911,8179711
Tag=cbaworkload_default_001.execute,50.043,9.981,11978,4600,5603,5703,5803,5903,5903,5903,5903,5903,5903,203903
Tag=cbaworkload_default_001.result,50.044,9.982,12019,140032,227199,235391,243327,247807,248575,249343,249471,249727,249727,88080383
Tag=cbaworkload_default_001.result-success,50.047,9.981,12022,228992,262655,271359,276479,279039,279807,281343,281855,281855,281855,88145919
Tag=cbaworkload_default_001.tries,50.049,9.982,12025,1,1,1,1,1,1,1,1,1,1,1
Tag=cbaworkload_default_001.cycles.servicetime,50.049,9.982,12026,325632,470271,489983,511231,521727,526335,528895,529919,530431,530431,89128959
Tag=cbaworkload_default_001.phases.servicetime,50.052,9.981,12028,267264,307711,318207,327167,330239,331007,331519,332287,332543,332543,88211455
Tag=cbaworkload_default_000.block2--insert-rampup--success,60.001,10.000,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.block2--insert-rampup--error,60.002,10.002,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.block2--insert-rampup--resultset-size,60.002,10.002,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.tokenfiller,60.003,10.002,9232,1009152,1014783,1016831,1018879,1019903,1020415,1020927,1020927,1020927,1020927,4464639
Tag=cbaworkload_default_000.retry-delay,60.005,10.002,0,0,0,0,0,0,0,0,0,0,0,0
Tag=cbaworkload_default_000.pages,60.006,10.002,0,0,0,0,0,0,0,0,0,0,0,0
